Event_Name,Date_start,Date_end,Address,City,Link
St. Anne Early Learning Center Open House & Family Fun Day,March 23 @ 3:00 pm,n.a.,4300 Newberry Road W,Gainesville,https://www.visitgainesville.com/event/st-anne-early-learning-center-open-house-family-fun-day/
Mi Apa Domino Tournament and Elio Piedra Conga Drum Ensemble,March 23 @ 5:00 pm,n.a.,114 SW 34th St,Gainesville,https://www.visitgainesville.com/event/mi-apa-domino-tournament-and-elio-piedra-conga-drum-ensemble/
Embers Wood Grill Wine & Food Festival: Bourbon Bash 2019,March 23 @ 6:00 pm,n.a.,3545 SW 34th Street,Gainesville,https://www.visitgainesville.com/event/embers-wood-grill-wine-food-festival-bourbon-bash-2019/
National Geographic Live:On presentation on big cats,March 23 @ 7:30 pm,n.a.,3201 Hull Rd,Gainesville,https://www.visitgainesville.com/event/national-geographic-liveon-presentation-on-big-cats/
A Sweet Taste of Broadway,March 23 @ 7:30 pm,n.a.,2826 NW 31st Ave,Gainesville,https://www.visitgainesville.com/event/a-sweet-taste-of-broadway/
A Sweet Taste of Broadway,March 23 @ 7:30 pm,n.a.,2826 NW 31st Ave,Gainesville,https://www.visitgainesville.com/event/a-sweet-taste-of-broadway-2/
Embers Wood Grill Wine & Food Festival: Tasting and Seminar with Marc Mondavi,March 23 @ 7:30 pm,n.a.,3545 SW 34th Street,Gainesville,https://www.visitgainesville.com/event/embers-wood-grill-wine-food-festival-tasting-and-seminar-with-marc-mondavi/
Sally B.’s ‘Noobie’ Revue – A New Burlesque Performer Showcase!,March 23 @ 8:00 pm,n.a.,920 NW 2nd Street,Gainesville,https://www.visitgainesville.com/event/sally-b-s-noobie-revue-a-new-burlesque-performer-showcase/
SciArt Meetup: Birds,March 24 @ 10:00 am,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/sciart-meetup-birds/
Embers Wood Grill Wine & Food Festival: Grand Tasting,March 24 @ 2:00 pm,n.a.,3545 SW 34th Street,Gainesville,https://www.visitgainesville.com/event/embers-wood-grill-wine-food-festival-grand-tasting/
Sunday Afternoon Spring Music Series,March 24 @ 2:30 pm,n.a.,401 E University Ave,Gainesville,https://www.visitgainesville.com/event/sunday-afternoon-spring-music-series/2019-03-24/
"Resistance exercise for walking, balance and independent living",March 27 @ 9:30 am,n.a.,1925 NW 2nd St Suite B,Gainesville,https://www.visitgainesville.com/event/resistance-exercise-for-walking-balance-and-independent-living/
Florida Museum presents Da Vinci After Dark,March 28 @ 7:00 pm,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/florida-museum-presents-da-vinci-after-dark/
Gainesville Native American Festival,March 29 @ 10:00 am,n.a.,3100 NE 39th Ave,Gainesville,https://www.visitgainesville.com/event/gainesville-native-american-festival/2019-03-29/
"Fins, Feathers and Fur Exhibit at GFAA",March 29 @ 6:00 pm,n.a.,1314 S Main St,Gainesville,https://www.visitgainesville.com/event/fins-feathers-and-fur-exhibit-at-gfaa/
Great American Cleanup – 2019,March 30 @ 8:00 am,n.a.,1001 NW 34th Street,Gainesville,https://www.visitgainesville.com/event/great-american-cleanup-2019/
Hogtown 5K Beer Run benefiting the Climb for Cancer Foundation,March 30 @ 9:00 am,n.a.,9116 SW 51st Rd,Gainesville,https://www.visitgainesville.com/event/hogtown-5k-beer-run-benefiting-the-climb-for-cancer-foundation/
UF’s Dance Marathon,March 30 @ 11:00 am,March 31 @ 5:00 pm,250 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/ufs-dance-marathon/
Florida Museum to host DIY butterfly specimen pinning workshop March 30,March 30 @ 2:00 pm,n.a.,3215 Hull Road,Gainesville,https://www.visitgainesville.com/event/florida-museum-to-host-diy-butterfly-specimen-pinning-workshop-march-30/
Dance Marathon Miracle Gala,March 30 @ 6:00 pm,n.a.,157 Gale Lemerand Dr,Gainesville,https://www.visitgainesville.com/event/dance-marathon-miracle-gala/
